date,high,low,close,volume
2025-01-14 18:30:00,6.9,6.7,6.7,2097420
2025-01-15 18:30:00,6.9,6.7,6.7,6109955
2025-01-16 18:30:00,6.8,6.5,6.5,11563400
2025-01-19 18:30:00,6.7,6.4,6.6,6064123
2025-01-20 18:30:00,6.7,6.4,6.5,11214516
2025-01-21 18:30:00,6.9,6.5,6.8,18585482
2025-01-22 18:30:00,7.0,6.8,6.9,14810841
2025-01-23 18:30:00,6.9,6.6,6.6,8728781
2025-01-26 18:30:00,6.8,6.6,6.7,2780556
2025-01-27 18:30:00,7.1,6.6,6.9,17598444
2025-01-28 18:30:00,7.1,6.8,7.0,15077336
2025-01-29 18:30:00,7.1,6.7,6.8,11392829
2025-01-30 18:30:00,7.0,6.7,7.0,3232423
2025-02-02 18:30:00,7.0,6.7,6.8,3394062
2025-02-04 18:30:00,6.9,6.4,6.5,10775487
2025-02-05 18:30:00,6.7,6.4,6.4,6397443
2025-02-06 18:30:00,6.6,6.4,6.5,3366149
2025-02-09 18:30:00,6.6,6.4,6.5,1519354
2025-02-10 18:30:00,6.6,6.4,6.4,2603160
2025-02-12 18:30:00,6.6,6.4,6.5,934027
2025-02-13 18:30:00,6.6,6.4,6.5,3218549
2025-02-16 18:30:00,6.7,6.4,6.7,4345416
2025-02-17 18:30:00,6.7,6.5,6.5,1240154
2025-02-18 18:30:00,6.6,6.4,6.4,1161984
2025-02-20 04:00:07,6.6,6.2,6.3,4566861
2025-02-20 18:30:00,6.5,6.3,6.3,2276351
2025-02-23 18:30:00,6.3,6.0,6.0,4712049
2025-02-24 18:30:00,6.2,6.0,6.0,1371840
2025-02-26 18:30:00,6.2,6.0,6.1,528181
2025-02-27 18:30:00,6.2,6.0,6.1,1018508
2025-03-02 18:30:00,6.2,6.0,6.0,1509678
2025-03-03 18:30:00,6.1,5.8,5.9,3334771
2025-03-04 18:30:00,6.2,5.9,6.1,1230048
2025-03-05 18:30:00,6.2,6.0,6.0,778499
2025-03-06 18:30:00,6.1,5.9,6.0,539769
2025-03-09 18:30:00,6.1,5.9,5.9,427832
2025-03-10 18:30:00,6.0,5.8,5.8,3883600
2025-03-11 18:30:00,6.0,5.8,5.9,498010
2025-03-13 18:30:00,6.0,5.8,5.8,477428
2025-03-16 18:30:00,5.9,5.7,5.8,531495
2025-03-17 18:30:00,5.8,5.5,5.6,3752144
2025-03-18 18:30:00,5.8,5.6,5.6,926619
2025-03-19 18:30:00,5.9,5.6,5.9,706244
2025-03-20 18:30:00,6.0,5.8,5.8,1253504
2025-03-24 04:00:05,6.0,5.8,5.9,522398
2025-03-24 18:30:00,6.1,5.9,6.1,1719910
2025-03-25 18:30:00,6.2,5.9,6.0,622228
2025-03-26 18:30:00,6.1,5.9,6.0,569757
2025-03-27 18:30:00,6.1,5.9,5.9,1262229
2025-03-31 18:30:00,6.1,5.9,6.1,1570982
2025-04-01 18:30:00,6.2,6.0,6.0,430542
2025-04-02 18:30:00,6.0,5.8,5.9,4009152
2025-04-03 18:30:00,5.9,5.7,5.7,2141708
2025-04-06 18:30:00,5.8,5.4,5.6,5030634
2025-04-07 18:30:00,5.9,5.5,5.9,1464226
2025-04-08 18:30:00,5.9,5.6,5.6,1318437
2025-04-09 18:30:00,6.0,5.8,5.8,3538904
2025-04-10 18:30:00,5.9,5.7,5.8,712491
2025-04-15 18:30:00,6.0,5.8,5.9,1416153
2025-04-16 18:30:00,6.0,5.8,5.9,539659
2025-04-20 18:30:00,6.1,5.9,6.0,1734527
2025-04-21 18:30:00,6.1,5.9,6.0,804105
2025-04-22 18:30:00,6.1,6.0,6.0,288693
2025-04-23 18:30:00,6.1,6.0,6.1,299306
2025-04-24 18:30:00,6.2,6.0,6.1,1298013
2025-04-27 18:30:00,6.3,6.1,6.2,2509483
2025-04-28 18:30:00,6.3,6.1,6.2,1120388
2025-04-29 18:30:00,6.2,6.0,6.1,1583392
2025-05-01 18:30:00,6.2,6.1,6.2,627323
2025-05-04 18:30:00,6.3,6.0,6.2,2320385
2025-05-05 18:30:00,6.2,6.1,6.2,456035
2025-05-06 18:30:00,6.2,6.0,6.0,1236810
2025-05-07 18:30:00,6.1,5.9,6.0,3679775
2025-05-08 18:30:00,6.1,5.8,5.9,4412412
2025-05-13 18:30:00,6.1,5.9,6.0,2020014
