date,high,low,close,volume
2025-01-14 18:30:00,442.0,442.0,471.75,10
2025-01-15 18:30:00,445.0,442.0,471.75,13
2025-01-16 18:30:00,442.0,440.0,440.25,224
2025-01-19 18:30:00,440.5,440.25,440.25,107
2025-01-20 18:30:00,450.0,450.0,440.25,2
2025-01-21 18:30:00,479.5,460.0,440.25,14
2025-01-22 18:30:00,535.0,450.0,505.5,537
2025-01-23 18:30:00,506.0,485.0,505.5,4
2025-01-26 18:30:00,475.0,455.0,505.5,18
2025-01-27 18:30:00,456.25,456.25,505.5,2
2025-01-28 18:30:00,505.0,475.0,505.5,15
2025-01-29 18:30:00,504.75,475.0,505.5,2
2025-01-30 18:30:00,504.75,460.0,505.5,29
2025-02-04 18:30:00,494.5,494.5,505.5,9
2025-02-05 18:30:00,504.75,504.75,505.5,1
2025-02-09 18:30:00,494.5,494.5,505.5,35
2025-02-13 18:30:00,499.0,499.0,505.5,5
2025-02-17 18:30:00,500.0,430.0,505.5,17
2025-02-18 18:30:00,500.0,500.0,505.5,2
2025-02-20 09:11:51,435.0,435.0,505.5,6
2025-02-23 18:30:00,450.0,430.5,505.5,9
2025-02-24 18:30:00,455.0,455.0,505.5,10
2025-03-03 18:30:00,452.0,452.0,505.5,1
2025-03-06 18:30:00,505.5,500.0,505.5,20
2025-03-09 18:30:00,501.5,501.5,505.5,5
2025-03-10 18:30:00,455.0,400.0,410.25,217
2025-03-11 18:30:00,444.5,412.0,410.25,58
2025-03-13 18:30:00,442.75,441.75,410.25,40
2025-03-16 18:30:00,431.5,431.5,410.25,4
2025-03-18 18:30:00,415.0,415.0,410.25,1
2025-03-19 18:30:00,415.0,415.0,410.25,5
2025-03-20 18:30:00,442.5,420.0,410.25,3
2025-03-24 18:30:00,476.0,380.0,410.25,31
2025-04-06 18:30:00,410.25,410.25,410.25,4
2025-04-28 18:30:00,450.0,450.0,410.25,3
2025-05-01 18:30:00,450.0,450.0,410.25,1
2025-05-04 18:30:00,440.0,440.0,410.25,1
2025-05-05 18:30:00,450.0,450.0,410.25,2
2025-05-07 18:30:00,440.0,420.0,410.25,4
2025-05-19 18:30:00,435.0,435.0,410.25,2
2025-06-02 18:30:00,447.75,360.0,410.25,26
2025-06-03 18:30:00,499.0,377.5,410.25,75
2025-06-04 18:30:00,430.0,430.0,410.25,10
2025-06-05 18:30:00,415.0,415.0,410.25,2
2025-06-10 18:30:00,460.0,455.0,410.25,18
2025-06-11 18:30:00,498.0,460.0,410.25,89
2025-06-12 18:30:00,512.75,433.0,446.5,1361
2025-06-15 18:30:00,500.0,450.0,446.5,5
2025-06-16 18:30:00,498.0,494.0,446.5,88
2025-06-18 18:30:00,462.0,435.25,449.5,277
2025-06-19 18:30:00,488.0,435.25,449.5,2
2025-06-22 18:30:00,450.25,450.25,449.5,2
2025-06-29 18:30:00,465.0,465.0,449.5,6
2025-06-30 18:30:00,490.0,490.0,449.5,1
2025-07-01 18:30:00,494.0,460.0,461.5,111
2025-07-02 18:30:00,489.75,489.75,461.5,1
2025-07-07 18:30:00,493.25,411.0,461.5,21
2025-07-10 18:30:00,490.0,462.0,490.0,166
2025-07-14 18:30:00,595.0,477.0,505.5,136
2025-07-15 18:30:00,550.0,545.0,549.75,551
